epoch,batch,loss,asymmetry,time
0,10,26.15855312347412,1.3794228667736053,1777782791.4162283
0,20,29.063209056854248,1.3469878469944,1777782792.251938
0,30,27.535480117797853,1.4184073785503706,1777782793.0792363
0,40,27.511620450019837,1.4950240221023559,1777782793.909946
1,10,31.668492317199707,1.806169290602207,1777782795.000722
1,20,28.59620795249939,1.812791626483202,1777782795.8323097
1,30,28.58711684544881,1.7986908961931865,1777782796.666935
1,40,27.313231587409973,1.7840936183333398,1777782797.4941056
2,10,31.356547546386718,1.6954156548976898,1777782798.4239457
2,20,28.166250705718994,1.660634678274393,1777782799.2445683
2,30,28.227479648590087,1.6008271365682285,1777782800.0718584
2,40,27.17605128288269,1.5376868148595095,1777782800.897011
3,10,26.317189502716065,1.2375627467036248,1777782801.8274965
3,20,27.239524412155152,1.1844610957801343,1777782802.6703362
3,30,27.55683930714925,1.1343005142331124,1777782803.511001
3,40,27.103581953048707,1.0812159847795964,1777782804.3421135
4,10,23.027004528045655,0.8028373320639134,1777782805.2682707
4,20,25.89245276451111,0.7448710236519576,1777782806.089796
4,30,26.244321823120117,0.6930125233501195,1777782806.9179416
4,40,27.07390637397766,0.6542790664181113,1777782807.7459486
5,10,28.65785551071167,0.49056284260451793,1777782808.6698427
5,20,27.933152627944946,0.4484231194138527,1777782809.494337
5,30,27.691704845428468,0.4074307536373536,1777782810.3211038
5,40,27.06197669506073,0.37854572583213447,1777782811.1480951
6,10,34.42545928955078,0.24974164366424084,1777782812.1016788
6,20,29.144310903549194,0.2575963648952544,1777782812.9280093
6,30,28.46683152516683,0.24901801098187765,1777782813.7554379
6,40,27.055824184417723,0.23477115014605224,1777782814.5843098
7,10,27.248578596115113,0.1733504093490541,1777782815.5112832
7,20,29.365906596183777,0.1819405609305948,1777782816.336749
7,30,28.221207348505654,0.19144733348985513,1777782817.1668265
7,40,27.051076543331146,0.1920861460775137,1777782817.997197
8,10,25.930367469787598,0.20042976276427507,1777782818.9275165
8,20,26.6968581199646,0.19658149792179466,1777782819.769964
8,30,28.19990784327189,0.2031017392049233,1777782820.6176512
8,40,27.04682915210724,0.2116410260628909,1777782821.4442923
9,10,24.801168727874757,0.2186713606365025,1777782822.3853061
9,20,28.72554087638855,0.21250743321925403,1777782823.2105896
9,30,28.392417685190836,0.2181030941326171,1777782824.0385237
9,40,27.043688249588012,0.22292104124417528,1777782824.8668456
10,10,29.489253044128418,0.23470035629123448,1777782825.800387
10,20,29.59742283821106,0.2251026431132108,1777782826.6535344
10,30,27.306128184000652,0.23764817935700217,1777782827.4983578
10,40,27.03855299949646,0.23392886683093383,1777782828.339689
11,10,25.154217147827147,0.21301482098922134,1777782829.2720652
11,20,24.00132899284363,0.2229617589060217,1777782830.0991545
11,30,25.66130495071411,0.2309139520769318,1777782830.9273705
11,40,27.0297180891037,0.24494450840000062,1777782831.7560642
12,10,29.195178508758545,0.2959280261740089,1777782832.6778336
12,20,27.099701833724975,0.2813993318695575,1777782833.4999754
12,30,27.450855096181233,0.2736819980201622,1777782834.3263533
12,40,27.02213325500488,0.274050033463724,1777782835.1531186
13,10,27.56774482727051,0.28068303642645476,1777782836.0817435
13,20,27.582771205902098,0.2881555528856814,1777782836.909507
13,30,26.895040448506673,0.28841167426556347,1777782837.7375667
13,40,27.003487014770506,0.2850944214921445,1777782838.5654867
14,10,27.43072099685669,0.29078306837826967,1777782839.4937885
14,20,27.146666097640992,0.2697205212958157,1777782840.3204126
14,30,27.299309062957764,0.27541326475590466,1777782841.1494384
14,40,26.96393492221832,0.2745397327184677,1777782841.98022
15,10,28.350780773162843,0.31887383339852093,1777782842.9098146
15,20,27.575241136550904,0.3229152524225414,1777782843.7324467
15,30,27.05821221669515,0.3426549144302805,1777782844.5606263
15,40,26.80278084278107,0.35827562917545436,1777782845.3878832
16,10,27.17332887649536,0.40904537267535923,1777782846.3133929
16,20,28.630954456329345,0.42041515907421706,1777782847.1399884
16,30,26.51093146006266,0.41347449636856715,1777782847.9647856
16,40,26.364266920089722,0.40804969199150803,1777782848.9225206
17,10,22.956308937072755,0.3848851284071803,1777782849.8675897
17,20,25.91950659751892,0.3916334408693016,1777782850.6998188
17,30,25.529742781321207,0.3791846827199062,1777782851.5359557
17,40,25.795738315582277,0.37854850330427287,1777782852.3632696
18,10,25.99212226867676,0.42938178655952214,1777782853.2977178
18,20,24.742483854293823,0.4229543441295624,1777782854.12255
18,30,26.069668165842693,0.43520700220863023,1777782854.9464326
18,40,25.302164340019225,0.425342174910754,1777782855.7749472
19,10,29.104881858825685,0.3865471342355013,1777782856.7040045
19,20,26.36189994812012,0.3960512284308672,1777782857.5556881
19,30,24.727887121836343,0.39782775174975393,1777782858.3918514
19,40,24.57358522415161,0.399019811610505,1777782859.2236757
20,10,27.274584770202637,0.4416979457244277,1777782860.1484628
20,20,23.49980754852295,0.4274543037712574,1777782860.97266
20,30,25.098702144622802,0.4151581842462222,1777782861.8000262
20,40,24.410716462135316,0.3915716418799013,1777782862.625026
21,10,23.14268550872803,0.32726136215180157,1777782863.5509405
21,20,21.762120723724365,0.33231350905969737,1777782864.3752952
21,30,24.110623168945313,0.34870084834992887,1777782865.2019749
21,40,23.52018184661865,0.36195520648136736,1777782866.0276914
22,10,22.283826446533205,0.3722922779157758,1777782866.953828
22,20,20.939074325561524,0.3542895397812128,1777782867.7794065
22,30,21.57898890177409,0.3432577543059985,1777782868.6095622
22,40,22.959046840667725,0.33727946059927344,1777782869.4381611
23,10,23.916249752044678,0.3187175263985991,1777782870.3619816
23,20,25.13981773853302,0.32274135824367406,1777782871.185988
23,30,24.23985924720764,0.32675001173516116,1777782872.0131865
23,40,22.6340323805809,0.32081563978064803,1777782872.8383749
24,10,24.03243923187256,0.3018336024142802,1777782873.762987
24,20,21.940143442153932,0.28799457859061656,1777782874.5882933
24,30,21.601751963297527,0.28352371751591565,1777782875.4130027
24,40,22.249318027496336,0.2837558578537777,1777782876.2410004
25,10,20.391099071502687,0.27824206836223603,1777782877.1930394
25,20,19.986619186401366,0.2757828214690089,1777782878.0293384
25,30,21.543155320485432,0.27720696730390193,1777782878.861104
25,40,22.535863304138182,0.27663166091293095,1777782879.6909974
26,10,24.201821327209473,0.2708767118550837,1777782880.5896866
26,20,26.804607725143434,0.283942592266947,1777782881.422305
26,30,27.05178991953532,0.31783696383982896,1777782882.2604303
26,40,25.170330274105073,0.370089641847834,1777782883.0912387
27,10,22.544340324401855,0.40857247986122963,1777782883.9889882
27,20,22.066386270523072,0.36467970933392646,1777782884.8189998
27,30,23.06392459869385,0.3321699865192175,1777782885.6629498
27,40,22.89163327217102,0.32024740958493203,1777782886.4947665
28,10,22.608313751220702,0.32579488684758545,1777782887.4437897
28,20,21.78369176387787,0.3052283829782158,1777782888.284361
28,30,21.566798416773477,0.3016345079859098,1777782889.114413
28,40,21.786797738075258,0.2993344958230853,1777782889.9400892
29,10,24.744886589050292,0.2828768189162016,1777782890.8366766
29,20,22.57771506309509,0.2755103180341423,1777782891.6648815
29,30,22.329006481170655,0.26999708427911,1777782892.4947248
29,40,21.458858251571655,0.26523548735883085,1777782893.3236194
30,10,21.93840684890747,0.24956923359110952,1777782894.2590702
30,20,22.796342515945433,0.24503814328573645,1777782895.0874982
30,30,22.661568911870322,0.24388555010979374,1777782895.9146326
30,40,21.494056904315947,0.24251097298879176,1777782896.7448306
31,10,21.19262342453003,0.23212966342046856,1777782897.6423476
31,20,21.466448545455933,0.23495612432472407,1777782898.4787407
31,30,21.928804270426433,0.23587234729876122,1777782899.3057833
31,40,21.585296618938447,0.23434529951140284,1777782900.1340666
32,10,18.918071031570435,0.22524356076195837,1777782901.0296597
32,20,19.849228978157043,0.22827568283900618,1777782901.8527431
32,30,20.57768925031026,0.22797122042675813,1777782902.8105488
32,40,21.242718589305877,0.2283375217463821,1777782903.6356428
33,10,20.79110507965088,0.22989541781544687,1777782904.5297546
33,20,20.413127517700197,0.2291761934954673,1777782905.3842504
33,30,21.10358076095581,0.22860895892182986,1777782906.2091923
33,40,20.848610472679137,0.2288932373422198,1777782907.0441267
34,10,19.636936378479003,0.2256040982335806,1777782907.9686074
34,20,21.70050220489502,0.22592700406126678,1777782908.7943497
34,30,19.897904459635416,0.22529362871299188,1777782909.6211176
34,40,20.818149709701537,0.22468428026475012,1777782910.4495103
35,10,22.757327938079833,0.22416360640600325,1777782911.3455503
35,20,22.56449294090271,0.22761675732396544,1777782912.1768217
35,30,21.01451721191406,0.22532588866725564,1777782913.008801
35,40,20.876944279670717,0.2262717357048765,1777782913.8367422
36,10,20.57184429168701,0.22098120909705757,1777782914.76611
36,20,21.25948371887207,0.21959069684334098,1777782915.5958846
36,30,21.559028402964273,0.22435596389894685,1777782916.4223125
36,40,21.35823631286621,0.22157869668584318,1777782917.248686
37,10,20.34667549133301,0.21852990444526077,1777782918.1449413
37,20,21.934551429748534,0.2200847938735038,1777782918.9682775
37,30,21.98776388168335,0.21998189576566218,1777782919.8003454
37,40,21.114676213264467,0.21994267978556453,1777782920.6271553
38,10,21.177059650421143,0.21695940969362856,1777782921.5737655
38,20,23.153715515136717,0.2167332470662892,1777782922.4005072
38,30,22.129880396525063,0.21990437899902462,1777782923.237997
38,40,21.212799763679506,0.21891733522657306,1777782924.0618522
39,10,22.14136438369751,0.2257853985339403,1777782924.956188
39,20,22.38561146259308,0.2186509133087471,1777782925.7784152
39,30,21.392354504267374,0.21538793225996197,1777782926.603327
39,40,20.965878129005432,0.2141702317046933,1777782927.4313924
40,10,22.14414072036743,0.2098785245873034,1777782928.374613
40,20,23.265485048294067,0.21148996073082088,1777782929.199082
40,30,20.75624640782674,0.21172378852094212,1777782930.0268164
40,40,20.722607612609863,0.2120339554090053,1777782930.8528636
41,10,19.251213932037352,0.2077845188036561,1777782931.7530348
41,20,19.537488341331482,0.20898976980410516,1777782932.5794759
41,30,20.829799731572468,0.2085735033792754,1777782933.4057639
41,40,20.686976730823517,0.20904642658103256,1777782934.2304602
42,10,18.9349666595459,0.2074149622708559,1777782935.1198149
42,20,19.988570642471313,0.20910431645289063,1777782935.9434216
42,30,21.556440114974976,0.20964237355440854,1777782936.774752
42,40,20.712192606925964,0.20892622312866152,1777782937.600006
43,10,16.19319930076599,0.20471655958853663,1777782938.4962556
43,20,17.86226680278778,0.20741156244110315,1777782939.3216608
43,30,19.886221234003703,0.20883572889541585,1777782940.147686
43,40,21.317230880260468,0.20849959826096892,1777782940.9743102
44,10,24.242637157440186,0.21617794196009635,1777782941.8711438
44,20,21.97963502407074,0.2105487184047699,1777782942.7000072
44,30,20.753219207127888,0.20932777543639144,1777782943.5342238
44,40,20.869857227802278,0.2083662030460313,1777782944.3603077
45,10,21.209817600250243,0.20938117253407837,1777782945.2581682
45,20,21.59682698249817,0.20832145232632757,1777782946.0978632
45,30,20.54393097559611,0.2072894893206656,1777782946.944116
45,40,20.583689832687377,0.20664451210983098,1777782947.798981
46,10,17.434838032722475,0.20540451781451702,1777782948.6947842
46,20,20.30172907114029,0.20746399378925562,1777782949.51956
46,30,20.549460132916767,0.20638701392610867,1777782950.3461535
46,40,20.604839020967482,0.2065884728798643,1777782951.1726413
47,10,22.360630416870116,0.20462126838788391,1777782952.0654004
47,20,18.865547442436217,0.20671910709999503,1777782952.8900387
47,30,18.697444836298626,0.20597318861074745,1777782953.7157924
47,40,20.632891607284545,0.20627385738501325,1777782954.5417435
48,10,22.693508338928222,0.20738894362077118,1777782955.5556514
48,20,22.259308338165283,0.20904417450614274,1777782956.3833044
48,30,20.277886724472047,0.20852256723667184,1777782957.2069852
48,40,20.73397339582443,0.2088221688868478,1777782958.0326443
49,10,22.401371479034424,0.20568041284605862,1777782958.9289641
49,20,21.093760395050047,0.20608647480867803,1777782959.754809
49,30,19.817648394902548,0.20671180730039876,1777782960.5812514
49,40,20.54034048318863,0.20693430651575326,1777782961.4116178
