epoch,batch,loss,time
0,10,417.28644104003905,1764981527.2657425
0,20,415.0907485961914,1764981527.4249232
0,30,413.58055623372394,1764981527.5854166
0,40,411.874853515625,1764981527.74272
1,10,404.23114624023435,1764981527.9443443
1,20,404.0767883300781,1764981528.1033196
1,30,403.3661336263021,1764981528.2604554
1,40,402.1581695556641,1764981528.5686877
2,10,395.2245819091797,1764981528.7396286
2,20,394.57246551513674,1764981528.913355
2,30,393.20811971028644,1764981529.0800083
2,40,391.7618095397949,1764981529.2395613
3,10,384.04283447265624,1764981529.4076512
3,20,381.37572479248047,1764981529.5694454
3,30,379.2654225667318,1764981529.7282822
3,40,377.37514724731443,1764981529.886599
4,10,365.53370056152346,1764981530.0525227
4,20,363.79398345947266,1764981530.2095313
4,30,360.45667928059896,1764981530.3667245
4,40,358.5768341064453,1764981530.5279174
5,10,345.32720642089845,1764981530.6953099
5,20,342.21485900878906,1764981530.8520792
5,30,338.37001139322916,1764981531.0102859
5,40,335.7441566467285,1764981531.1683753
6,10,319.8191223144531,1764981531.3441186
6,20,315.551286315918,1764981531.50324
6,30,313.08632303873696,1764981531.6647642
6,40,309.6392463684082,1764981531.8256168
7,10,290.37525939941406,1764981531.9979494
7,20,288.92583923339845,1764981532.1607263
7,30,284.4629730224609,1764981532.3510869
7,40,281.09868240356445,1764981532.5617704
8,10,262.38612365722656,1764981532.7284653
8,20,258.71525955200195,1764981532.8865292
8,30,255.4582097371419,1764981533.0552385
8,40,251.42435302734376,1764981533.2152417
9,10,232.2636703491211,1764981533.4094896
9,20,228.80824432373046,1764981533.577898
9,30,225.90342915852864,1764981533.7382205
9,40,222.34463272094726,1764981533.8973837
10,10,204.28566284179686,1764981534.0716667
10,20,201.51954727172853,1764981534.2295105
10,30,198.14576059977213,1764981534.3933814
10,40,195.3829662322998,1764981534.5608256
11,10,180.6402557373047,1764981534.7289124
11,20,177.9276351928711,1764981534.9168134
11,30,174.57012990315755,1764981535.0758436
11,40,171.28348770141602,1764981535.2350252
12,10,157.96503753662108,1764981535.4084058
12,20,155.27019805908202,1764981535.5680645
12,30,153.31407979329427,1764981535.7365737
12,40,150.5868713378906,1764981535.8974874
13,10,140.89351959228514,1764981536.0662708
13,20,137.67959518432616,1764981536.2264845
13,30,135.94749654134114,1764981536.3886833
13,40,134.45024909973145,1764981536.563767
14,10,126.09791488647461,1764981536.7401118
14,20,125.2668212890625,1764981536.8989697
14,30,123.6574717203776,1764981537.057772
14,40,122.87662029266357,1764981537.2171319
15,10,117.36511306762695,1764981537.386484
15,20,117.01482925415038,1764981537.5468798
15,30,115.9738042195638,1764981537.7094548
15,40,115.02941608428955,1764981537.8704846
16,10,110.7100227355957,1764981538.0421371
16,20,110.47518844604492,1764981538.2009492
16,30,110.61957448323568,1764981538.360315
16,40,109.99273128509522,1764981538.5234745
17,10,107.87772216796876,1764981538.69496
