epoch,batch,loss,time
0,10,417.49033508300784,1771615282.1464279
0,20,415.8547637939453,1771615282.3225577
0,30,415.4168426513672,1771615282.488317
0,40,414.2005310058594,1771615282.6508882
1,10,408.86402282714846,1771615282.885748
1,20,406.57855834960935,1771615283.052836
1,30,404.8293029785156,1771615283.3531141
1,40,402.369149017334,1771615283.521538
2,10,388.6682983398438,1771615283.7496796
2,20,386.5913284301758,1771615283.9143193
2,30,384.6793192545573,1771615284.0967422
2,40,381.63275985717775,1771615284.2705548
3,10,365.20062561035155,1771615284.5046701
3,20,361.1244354248047,1771615284.669281
3,30,357.66135965983074,1771615284.8336518
3,40,353.44201202392577,1771615284.9973104
4,10,332.46685791015625,1771615285.2217405
4,20,328.926286315918,1771615285.387244
4,30,323.9770263671875,1771615285.5521662
4,40,318.6287162780762,1771615285.7157304
5,10,292.5914764404297,1771615285.945154
5,20,288.57641448974607,1771615286.106823
5,30,282.95326843261716,1771615286.2728486
5,40,277.916975402832,1771615286.4370193
6,10,253.07325286865233,1771615286.6642377
6,20,247.18513870239258,1771615286.8308678
6,30,241.7116958618164,1771615286.9913914
6,40,236.3131591796875,1771615287.1559036
7,10,212.86150360107422,1771615287.3875113
7,20,207.1852668762207,1771615287.5538163
7,30,202.66529795328776,1771615287.7165601
7,40,198.35806541442872,1771615287.8796313
8,10,177.04747314453124,1771615288.1251755
8,20,173.4758499145508,1771615288.2868595
8,30,169.86539459228516,1771615288.4557862
8,40,166.80567092895507,1771615288.6173592
9,10,151.62655334472657,1771615288.8458097
9,20,148.63357696533203,1771615289.0125575
9,30,145.41258646647137,1771615289.1739638
9,40,143.09555587768554,1771615289.333768
10,10,130.81178359985353,1771615289.5661745
10,20,129.01290397644044,1771615289.7290273
10,30,127.72928339640299,1771615289.8943748
10,40,126.78797225952148,1771615290.060471
11,10,119.86100616455079,1771615290.2964327
11,20,118.2210090637207,1771615290.457221
11,30,117.06428807576498,1771615290.6172483
11,40,116.25499153137207,1771615290.7809591
12,10,111.35095291137695,1771615291.0034778
12,20,111.00699958801269,1771615291.1663125
12,30,110.17359415690105,1771615291.3268702
12,40,109.53094501495362,1771615291.493716
13,10,106.16810150146485,1771615291.7221925
13,20,105.72065353393555,1771615291.8900824
13,30,105.41048965454101,1771615292.053461
13,40,105.0852710723877,1771615292.2225666
14,10,102.45260238647461,1771615292.4527137
14,20,102.48568801879883,1771615292.615844
14,30,102.41748275756837,1771615292.7768447
14,40,102.02212562561036,1771615292.9411743
15,10,101.55633697509765,1771615293.1699834
15,20,100.7444995880127,1771615293.332357
15,30,100.35579325358073,1771615293.4923277
15,40,100.01908435821534,1771615293.6555185
16,10,99.68957214355468,1771615293.8957927
16,20,99.10015678405762,1771615294.0581892
16,30,98.96253306070963,1771615294.2222583
16,40,98.76095504760742,1771615294.3895044
17,10,97.82753372192383,1771615294.6256924
17,20,98.17352561950683,1771615294.7892714
17,30,97.92224197387695,1771615294.95264
17,40,97.97648677825927,1771615295.126198
18,10,98.64310073852539,1771615295.3572648
18,20,97.97702751159667,1771615295.5250041
18,30,97.61119867960612,1771615295.6859238
18,40,97.478391456604,1771615295.8487425
19,10,96.69187393188477,1771615296.0818045
19,20,97.00225524902343,1771615296.243331
19,30,96.96633656819661,1771615296.4067633
19,40,97.14338569641113,1771615296.5732205
20,10,97.33260192871094,1771615296.8012521
20,20,96.94565467834472,1771615296.9635773
20,30,96.83875198364258,1771615297.1289287
20,40,96.89622535705567,1771615297.2912204
21,10,97.20932693481446,1771615297.5437045
21,20,97.16781044006348,1771615297.705294
21,30,96.96075820922852,1771615297.8854291
21,40,96.60565700531006,1771615298.045893
22,10,96.50796813964844,1771615298.2694283
22,20,95.9146957397461,1771615298.4388587
22,30,95.94188639322917,1771615298.5987265
22,40,95.93282890319824,1771615298.7592971
23,10,95.96718063354493,1771615298.984887
23,20,95.62819633483886,1771615299.151936
23,30,95.38851318359374,1771615299.3164034
23,40,95.29446754455566,1771615299.4803782
24,10,94.93361740112304,1771615299.7413306
24,20,95.01741981506348,1771615299.9108949
24,30,94.60266571044922,1771615300.0719929
24,40,94.71251964569092,1771615300.2333372
25,10,94.82187576293946,1771615300.4575574
25,20,94.4925033569336,1771615300.628689
25,30,94.28541259765625,1771615300.7896783
25,40,94.26162929534912,1771615300.9555736
26,10,94.77267379760742,1771615301.179923
26,20,94.28751258850097,1771615301.3490694
26,30,93.81952056884765,1771615301.5097141
26,40,93.87212295532227,1771615301.6702192
27,10,93.96833038330078,1771615301.8923395
27,20,93.89613265991211,1771615302.063854
27,30,93.64211654663086,1771615302.2275615
27,40,93.51162052154541,1771615302.3931274
28,10,92.63471908569336,1771615302.6289945
28,20,93.11738739013671,1771615302.7910397
28,30,93.1713633219401,1771615302.9535353
28,40,93.18716468811036,1771615303.1156135
29,10,92.89953155517578,1771615303.346646
29,20,92.80114250183105,1771615303.50929
29,30,92.83252258300782,1771615303.6694982
29,40,92.91643524169922,1771615303.8298118
30,10,92.8581153869629,1771615304.1916041
30,20,92.747758102417,1771615304.3605561
30,30,92.74242858886718,1771615304.521513
30,40,92.63421039581299,1771615304.6817522
31,10,92.12384567260742,1771615304.9047875
31,20,92.51674156188965,1771615305.069282
