epoch,batch,loss,time
0,10,27.086720561981203,1776420915.3464632
0,20,28.004540586471556,1776420915.4995155
0,30,28.01765921910604,1776420915.644923
0,40,27.530446910858153,1776420915.788805
1,10,27.46215114593506,1776420916.1016572
1,20,27.186467838287353,1776420916.2348988
1,30,27.640389315287273,1776420916.3654916
1,40,27.291766512393952,1776420916.6500993
2,10,25.670643615722657,1776420916.9761732
2,20,26.18233480453491,1776420917.127466
2,30,26.797555605570476,1776420917.268797
2,40,27.168184518814087,1776420917.41062
3,10,28.85145378112793,1776420917.7122715
3,20,27.823604393005372,1776420917.842288
3,30,26.241831970214843,1776420917.9689982
3,40,27.098616194725036,1776420918.1266494
4,10,23.06585168838501,1776420918.430391
4,20,25.63650107383728,1776420918.6062171
4,30,26.88334846496582,1776420918.7656124
4,40,27.0650785446167,1776420918.9161005
5,10,31.57812910079956,1776420919.2505202
5,20,27.990313267707826,1776420919.3918526
5,30,27.632046747207642,1776420919.525387
5,40,27.046795499324798,1776420919.674657
6,10,30.606216049194337,1776420919.9843462
6,20,29.13923978805542,1776420920.1284964
6,30,27.623478841781616,1776420920.271151
6,40,27.022762191295623,1776420920.4070263
7,10,27.19014754295349,1776420920.7456455
7,20,28.48106323480606,1776420920.8890247
7,30,28.259418209393818,1776420921.0223944
7,40,26.969860249757765,1776420921.1597254
8,10,26.36775712966919,1776420921.4680104
8,20,25.555047488212587,1776420921.603312
8,30,26.624619436264037,1776420921.7576115
8,40,26.77791429758072,1776420921.8973498
9,10,28.59462947845459,1776420922.2429957
9,20,26.922415351867677,1776420922.3792777
9,30,26.321989027659097,1776420922.5289335
9,40,26.300082635879516,1776420922.6676042
10,10,25.273049926757814,1776420922.9989896
10,20,24.497407531738283,1776420923.1322176
10,30,25.475828425089517,1776420923.2705812
10,40,25.64290280342102,1776420923.396799
11,10,24.284085845947267,1776420923.750698
11,20,26.393514919281007,1776420923.903884
11,30,25.238281536102296,1776420924.050964
11,40,25.321884882450103,1776420924.2068315
12,10,23.725537872314455,1776420924.543984
12,20,23.734343004226684,1776420924.676775
12,30,24.631409676869712,1776420924.8549104
12,40,24.790250301361084,1776420924.9983447
13,10,25.48575916290283,1776420925.3600545
13,20,25.625950384140015,1776420925.5116248
13,30,24.28158664703369,1776420925.6515448
13,40,24.38686466217041,1776420925.7950344
14,10,24.407960414886475,1776420926.1451817
14,20,24.441051244735718,1776420926.2928975
14,30,24.543735631306966,1776420926.4508386
14,40,23.85328254699707,1776420926.6021347
15,10,27.025167655944824,1776420926.964276
15,20,25.87064061164856,1776420927.1070535
15,30,23.441556898752847,1776420927.24514
15,40,23.170498871803282,1776420927.3857417
16,10,24.101444053649903,1776420927.7609103
16,20,24.30331344604492,1776420927.9113574
16,30,24.441590785980225,1776420928.0496929
16,40,22.70412175655365,1776420928.1861072
17,10,22.274801540374757,1776420928.5159407
17,20,21.39516701698303,1776420928.6517594
17,30,21.968981742858887,1776420928.786505
17,40,22.56436405181885,1776420928.9264164
18,10,24.37647647857666,1776420929.1198707
18,20,22.727789449691773,1776420929.265932
18,30,22.65357904434204,1776420929.413407
18,40,22.371713399887085,1776420929.5475266
19,10,21.9596586227417,1776420929.9177434
19,20,20.218631768226622,1776420930.067179
19,30,21.93120083808899,1776420930.2072666
