epoch,batch,loss,time
0,10,nan,1774931681.5462608
0,20,nan,1774931681.6897998
0,30,nan,1774931681.8414297
0,40,nan,1774931681.9801793
1,10,nan,1774931682.158766
1,20,nan,1774931682.298066
1,30,nan,1774931682.4424443
1,40,nan,1774931682.705872
2,10,nan,1774931682.8984432
2,20,nan,1774931683.0373166
2,30,nan,1774931683.176695
2,40,nan,1774931683.3166823
3,10,nan,1774931683.5005727
3,20,nan,1774931683.647537
3,30,nan,1774931683.7879128
3,40,nan,1774931683.9360735
4,10,nan,1774931684.1196942
4,20,nan,1774931684.26082
4,30,nan,1774931684.4020252
4,40,nan,1774931684.5413818
5,10,nan,1774931684.7247179
5,20,nan,1774931684.878044
5,30,nan,1774931685.032419
5,40,nan,1774931685.1715157
6,10,nan,1774931685.3578715
6,20,nan,1774931685.5015585
6,30,nan,1774931685.641781
6,40,nan,1774931685.7830381
7,10,nan,1774931685.9630442
7,20,nan,1774931686.1075804
7,30,nan,1774931686.2466216
7,40,nan,1774931686.3872643
8,10,nan,1774931686.5743616
8,20,nan,1774931686.713793
8,30,nan,1774931686.8540921
8,40,nan,1774931686.999443
9,10,nan,1774931687.1934564
9,20,nan,1774931687.3377268
9,30,nan,1774931687.4773188
9,40,nan,1774931687.6163304
10,10,nan,1774931687.7996337
10,20,nan,1774931687.9479797
10,30,nan,1774931688.093436
10,40,nan,1774931688.241977
11,10,nan,1774931688.4269059
11,20,nan,1774931688.5651636
11,30,nan,1774931688.7067454
11,40,nan,1774931688.8479455
12,10,nan,1774931689.0251472
12,20,nan,1774931689.1682837
12,30,nan,1774931689.3115532
12,40,nan,1774931689.451523
13,10,nan,1774931689.635675
13,20,nan,1774931689.7818298
13,30,nan,1774931689.9221163
13,40,nan,1774931690.0652552
14,10,nan,1774931690.2428045
14,20,nan,1774931690.3897452
14,30,nan,1774931690.5292094
14,40,nan,1774931690.6696076
15,10,nan,1774931690.8489964
15,20,nan,1774931690.9900959
15,30,nan,1774931691.1412144
15,40,nan,1774931691.2816372
16,10,nan,1774931691.4620044
16,20,nan,1774931691.6040285
16,30,nan,1774931691.744441
16,40,nan,1774931691.8866851
17,10,nan,1774931692.0684524
17,20,nan,1774931692.2073405
17,30,nan,1774931692.3478718
17,40,nan,1774931692.4960883
18,10,nan,1774931692.6735795
18,20,nan,1774931692.8155022
18,30,nan,1774931692.9555962
18,40,nan,1774931693.0974202
19,10,nan,1774931693.277636
19,20,nan,1774931693.418688
19,30,nan,1774931693.5597658
19,40,nan,1774931693.6994529
20,10,nan,1774931693.8788009
20,20,nan,1774931694.023846
20,30,nan,1774931694.1734314
20,40,nan,1774931694.3225255
21,10,nan,1774931694.5271504
21,20,nan,1774931694.6690323
21,30,nan,1774931694.8082201
21,40,nan,1774931694.947853
22,10,nan,1774931695.1241388
22,20,nan,1774931695.2642615
22,30,nan,1774931695.4024105
22,40,nan,1774931695.5428088
23,10,nan,1774931695.7233126
23,20,nan,1774931695.8640728
23,30,nan,1774931696.004936
23,40,nan,1774931696.1452806
24,10,nan,1774931696.3232875
24,20,nan,1774931696.46394
24,30,nan,1774931696.6030445
24,40,nan,1774931696.7430215
25,10,nan,1774931696.92042
25,20,nan,1774931697.062091
25,30,nan,1774931697.200556
25,40,nan,1774931697.3464546
26,10,nan,1774931697.530632
26,20,nan,1774931697.6718554
26,30,nan,1774931697.8131976
26,40,nan,1774931697.9527986
27,10,nan,1774931698.137892
27,20,nan,1774931698.2850955
27,30,nan,1774931698.4243917
27,40,nan,1774931698.5687358
28,10,nan,1774931698.7490807
28,20,nan,1774931698.8894477
28,30,nan,1774931699.0296612
28,40,nan,1774931699.1702266
29,10,nan,1774931699.3468363
29,20,nan,1774931699.4888058
29,30,nan,1774931699.6470559
29,40,nan,1774931699.7852266
30,10,nan,1774931700.0998049
30,20,nan,1774931700.2395198
30,30,nan,1774931700.3812885
30,40,nan,1774931700.5255997
31,10,nan,1774931700.704088
31,20,nan,1774931700.84884
31,30,nan,1774931700.9932873
31,40,nan,1774931701.1328704
32,10,nan,1774931701.3139727
32,20,nan,1774931701.4554973
32,30,nan,1774931701.5947645
32,40,nan,1774931701.7419426
33,10,nan,1774931701.9222727
33,20,nan,1774931702.0627925
33,30,nan,1774931702.204903
33,40,nan,1774931702.3490927
34,10,nan,1774931702.5276132
34,20,nan,1774931702.6695802
34,30,nan,1774931702.8160412
34,40,nan,1774931702.9565918
35,10,nan,1774931703.1386287
35,20,nan,1774931703.2789822
35,30,nan,1774931703.4341712
35,40,nan,1774931703.5759497
36,10,nan,1774931703.7579544
36,20,nan,1774931703.9014945
36,30,nan,1774931704.0492187
36,40,nan,1774931704.1927783
37,10,nan,1774931704.3759818
37,20,nan,1774931704.5173368
37,30,nan,1774931704.656849
37,40,nan,1774931704.7980182
38,10,nan,1774931704.9772825
38,20,nan,1774931705.1175926
38,30,nan,1774931705.2657938
38,40,nan,1774931705.4111695
39,10,nan,1774931705.5946882
39,20,nan,1774931705.7366617
39,30,nan,1774931705.8792307
39,40,nan,1774931706.0210228
40,10,nan,1774931706.2039459
40,20,nan,1774931706.3469174
40,30,nan,1774931706.4920719
40,40,nan,1774931706.6342323
41,10,nan,1774931706.8190746
41,20,nan,1774931706.9638798
41,30,nan,1774931707.1093426
41,40,nan,1774931707.2498813
42,10,nan,1774931707.4283264
42,20,nan,1774931707.5713184
42,30,nan,1774931707.713454
42,40,nan,1774931707.8668563
43,10,nan,1774931708.0463662
43,20,nan,1774931708.1869974
43,30,nan,1774931708.3287635
43,40,nan,1774931708.4710226
44,10,nan,1774931708.653559
44,20,nan,1774931708.7959962
44,30,nan,1774931708.938972
44,40,nan,1774931709.0801744
45,10,nan,1774931709.2618396
45,20,nan,1774931709.4050236
45,30,nan,1774931709.5489688
45,40,nan,1774931709.7013295
46,10,nan,1774931709.8827903
46,20,nan,1774931710.0233204
46,30,nan,1774931710.1663465
46,40,nan,1774931710.3097851
47,10,nan,1774931710.5299149
47,20,nan,1774931710.6724434
47,30,nan,1774931710.813859
47,40,nan,1774931710.9577992
48,10,nan,1774931711.1392908
48,20,nan,1774931711.2875435
48,30,nan,1774931711.4295485
48,40,nan,1774931711.572021
49,10,nan,1774931711.7525642
49,20,nan,1774931711.893677
49,30,nan,1774931712.0352464
49,40,nan,1774931712.1773596
50,10,nan,1774931712.3565483
50,20,nan,1774931712.4970171
50,30,nan,1774931712.6404185
50,40,nan,1774931712.7824864
51,10,nan,1774931712.9610097
51,20,nan,1774931713.1020882
51,30,nan,1774931713.256611
