epoch,batch,loss,time
0,10,15.929235744476319,1776424610.736232
0,20,14.053157472610474,1776424610.9381099
0,30,14.690603876113892,1776424611.1029508
0,40,14.807836031913757,1776424611.26325
1,10,12.832441532611847,1776424611.5228848
1,20,13.184488421678543,1776424611.6828995
1,30,14.625355390707652,1776424611.9460008
1,40,14.431717124581336,1776424612.1099029
2,10,11.369195079803466,1776424612.3572009
2,20,13.100182890892029,1776424612.518851
2,30,13.248583777745564,1776424612.6788936
2,40,14.084897489845753,1776424612.8391147
3,10,11.954033279418946,1776424613.1102757
3,20,14.119577789306641,1776424613.2843316
3,30,14.244951478640239,1776424613.4465666
3,40,13.896925956010818,1776424613.6109223
4,10,12.303258675336838,1776424613.8595085
4,20,12.967840966582298,1776424614.0211272
4,30,13.201471398274103,1776424614.1816914
4,40,13.819281034171581,1776424614.34229
5,10,14.814322090148925,1776424614.5958846
5,20,14.384077966213226,1776424614.7561467
5,30,14.0564571082592,1776424614.9168804
5,40,13.783049656450748,1776424615.0793982
6,10,16.80483751296997,1776424615.3343437
6,20,15.498356652259826,1776424615.4957159
6,30,14.23869875272115,1776424615.656792
6,40,13.751516222953796,1776424615.8169484
7,10,13.665033149719239,1776424616.0713422
7,20,14.510704526305199,1776424616.231761
7,30,13.623211723566055,1776424616.391108
7,40,13.707060043513774,1776424616.553487
8,10,12.87251057624817,1776424616.8029184
8,20,12.359485363960266,1776424616.9664216
8,30,13.434418869018554,1776424617.1261408
8,40,13.67996279001236,1776424617.291939
9,10,14.270897960662841,1776424617.5419238
9,20,14.127384138107299,1776424617.7036572
9,30,14.176125288009644,1776424617.863502
9,40,13.665018545091153,1776424618.0259454
10,10,15.618707132339477,1776424618.2778819
10,20,13.6966773301363,1776424618.4385912
10,30,13.902304905653,1776424618.5980167
10,40,13.65903058797121,1776424618.7637253
11,10,17.114209365844726,1776424619.0131314
11,20,16.1079852104187,1776424619.1748712
11,30,14.716610344250997,1776424619.3374043
11,40,13.638823196291924,1776424619.5000758
12,10,9.948385363817215,1776424619.7507966
12,20,12.288545766472817,1776424619.9122918
12,30,13.934376281499862,1776424620.0728912
12,40,13.617576570808888,1776424620.288871
13,10,15.050604963302613,1776424620.5151198
13,20,15.15988335609436,1776424620.6752071
13,30,14.302408560117085,1776424620.8356395
13,40,13.581299835443497,1776424620.99869
14,10,12.078613013029099,1776424621.2504256
14,20,13.092198476195335,1776424621.4108758
14,30,13.494043085972468,1776424621.5700493
14,40,13.546853511035442,1776424621.7305446
15,10,16.720970630645752,1776424621.9842331
15,20,15.092864322662354,1776424622.1473815
15,30,14.950631697972616,1776424622.3082166
15,40,13.525066617131234,1776424622.472077
16,10,14.559242534637452,1776424622.7394264
16,20,14.220462238788604,1776424622.9009194
16,30,13.407882104317347,1776424623.0613115
16,40,13.492114748060704,1776424623.2241926
17,10,15.55927734375,1776424623.4755895
17,20,13.265324521064759,1776424623.6364455
17,30,14.294456338882446,1776424623.7983747
17,40,13.46944010257721,1776424623.9590666
18,10,13.828084182739257,1776424624.2174017
18,20,14.019742131233215,1776424624.3947861
18,30,13.515293510754903,1776424624.5558844
18,40,13.434395772218704,1776424624.7164898
19,10,10.572908020019531,1776424624.9809265
19,20,13.407577323913575,1776424625.14248
19,30,14.043943786621094,1776424625.3036199
19,40,13.396812057495117,1776424625.4646635
20,10,15.227757811546326,1776424625.7148104
20,20,14.868733942508698,1776424625.8772242
20,30,12.841465441385905,1776424626.0390148
20,40,13.364398074150085,1776424626.2007754
21,10,12.790611600875854,1776424626.4546168
21,20,13.244761633872987,1776424626.6169956
21,30,12.831818215052287,1776424626.7775488
21,40,13.302648091316223,1776424626.9402115
22,10,16.170964628458023,1776424627.1890898
22,20,13.770729091763496,1776424627.3496826
22,30,13.67193369269371,1776424627.510474
22,40,13.273085840046406,1776424627.6750054
23,10,11.223961067199706,1776424627.9332056
23,20,13.670401358604432,1776424628.0981598
23,30,13.42046377658844,1776424628.260459
23,40,13.217683809995652,1776424628.4268174
24,10,11.002055168151855,1776424628.6946871
24,20,11.875305342674256,1776424628.855979
24,30,13.291532548268636,1776424629.0182028
24,40,13.12907407283783,1776424629.181934
25,10,13.825199842453003,1776424629.4471939
25,20,12.008989143371583,1776424629.6130054
25,30,12.994885937372844,1776424629.7752943
25,40,13.091364300251007,1776424629.9397788
26,10,13.701707136631011,1776424630.1669729
26,20,12.200405770540238,1776424630.3294117
26,30,12.71955622434616,1776424630.4899666
26,40,13.10903209745884,1776424630.6553855
27,10,11.42182478904724,1776424630.882394
27,20,11.095226466655731,1776424631.0467818
27,30,12.679264958699545,1776424631.2079792
27,40,12.972974836826324,1776424631.3678465
28,10,15.784534740447999,1776424631.6216865
28,20,13.538782262802124,1776424631.7845273
28,30,12.805472751458487,1776424631.9455295
28,40,12.744246265292167,1776424632.109754
29,10,14.798958718776703,1776424632.360061
29,20,12.59665568768978,1776424632.5280273
29,30,13.14823273619016,1776424632.6998703
29,40,12.765821026265622,1776424632.8678205
30,10,12.601847910881043,1776424633.236098
30,20,11.971728932857513,1776424633.4057114
30,30,12.779482118288676,1776424633.5771284
30,40,12.94592644572258,1776424633.7401052
31,10,10.609917736053466,1776424633.9728389
31,20,11.450511980056763,1776424634.1440647
31,30,11.814807780583699,1776424634.3135285
31,40,12.44480654001236,1776424634.4838817
32,10,10.967936396598816,1776424634.7413337
32,20,11.867406332492829,1776424634.9074602
32,30,11.881895399093628,1776424635.0744684
32,40,12.131194657087326,1776424635.241329
33,10,14.04264235496521,1776424635.4954836
33,20,12.581562530994415,1776424635.6605213
33,30,11.789872241020202,1776424635.824484
33,40,11.973669779300689,1776424635.9915378
34,10,9.131494569778443,1776424636.2540944
34,20,12.088792896270752,1776424636.4227085
34,30,11.978600358963012,1776424636.589649
34,40,12.090306752920151,1776424636.7672515
35,10,9.970374751091004,1776424637.0054846
35,20,11.833352601528167,1776424637.176046
35,30,13.173643211523691,1776424637.3461225
35,40,13.065348640084267,1776424637.5142174
36,10,12.439662528038024,1776424637.749045
36,20,11.197441518306732,1776424637.9165363
36,30,11.162135322888693,1776424638.0823622
36,40,11.99132621884346,1776424638.2480967
37,10,12.041552257537841,1776424638.5086691
37,20,11.848373293876648,1776424638.6782196
37,30,11.274287088712056,1776424638.8440535
37,40,11.532183921337127,1776424639.0102687
38,10,11.204642522335053,1776424639.2452018
38,20,11.55292813181877,1776424639.4111755
38,30,11.145912857850393,1776424639.5799325
38,40,11.389678850769997,1776424639.7479348
39,10,10.658740377426147,1776424640.0082288
39,20,10.44474276304245,1776424640.1771815
39,30,10.601234623789788,1776424640.3412724
