epoch,batch,loss,time
0,10,114.01671829223633,1772156100.609403
0,20,112.80273361206055,1772156100.7467806
0,30,112.32438685099284,1772156100.8809226
0,40,111.6827127456665,1772156101.0287054
1,10,106.47141571044922,1772156101.2265272
1,20,106.49267539978027,1772156101.3599079
1,30,104.99496790568034,1772156101.4929018
1,40,103.08882350921631,1772156101.75362
2,10,96.93679122924804,1772156101.941998
2,20,94.26403694152832,1772156102.0812247
2,30,93.13577245076497,1772156102.2139688
2,40,91.34067707061767,1772156102.3478854
3,10,82.5354835510254,1772156102.5369208
3,20,82.4591630935669,1772156102.671375
3,30,80.34241879781088,1772156102.804472
3,40,79.44894104003906,1772156102.9380858
4,10,73.86533889770507,1772156103.1276789
4,20,69.64347591400147,1772156103.2624424
4,30,71.94873847961426,1772156103.3987885
4,40,69.75564794540405,1772156103.5310616
5,10,66.75724601745605,1772156103.8226974
5,20,65.28243274688721,1772156103.9578898
5,30,62.63593686421712,1772156104.0922766
5,40,62.90991916656494,1772156104.225348
6,10,58.1167911529541,1772156104.4217567
6,20,61.55996837615967,1772156104.5559726
6,30,60.21200917561849,1772156104.6883652
6,40,58.35701951980591,1772156104.822595
7,10,59.89977493286133,1772156105.0240197
7,20,56.88564395904541,1772156105.159284
7,30,54.890296363830565,1772156105.2934182
7,40,55.38937125205994,1772156105.4276905
8,10,48.15787200927734,1772156105.6163146
8,20,52.03233680725098,1772156105.7503772
8,30,53.45395698547363,1772156105.8837245
8,40,53.46488409042358,1772156106.019255
9,10,53.73752212524414,1772156106.2093868
9,20,53.88572463989258,1772156106.3434348
9,30,53.09086112976074,1772156106.4767642
9,40,52.2297459602356,1772156106.610147
10,10,48.499869918823244,1772156106.8011444
10,20,49.10675678253174,1772156106.943753
10,30,51.67197252909342,1772156107.0788982
10,40,51.437895965576175,1772156107.212172
11,10,54.39505271911621,1772156107.3996685
11,20,51.31910600662231,1772156107.534702
11,30,51.58277339935303,1772156107.6690142
11,40,50.91314692497254,1772156107.8021624
12,10,48.47187614440918,1772156107.9906464
12,20,51.661074829101565,1772156108.1250017
12,30,52.04270553588867,1772156108.259122
12,40,50.534268093109134,1772156108.3934472
13,10,45.61352462768555,1772156108.5826664
13,20,47.35204658508301,1772156108.7158964
13,30,49.3874818166097,1772156108.8494174
13,40,50.23263568878174,1772156108.9846528
14,10,44.72091007232666,1772156109.174169
14,20,48.59735336303711,1772156109.3083985
14,30,47.85236225128174,1772156109.4425097
14,40,49.97278876304627,1772156109.5767202
15,10,51.06668968200684,1772156109.7652214
15,20,48.52412357330322,1772156109.8994482
15,30,49.01497662862142,1772156110.032746
15,40,49.73124351501465,1772156110.1668074
16,10,45.366996383666994,1772156110.3563297
16,20,50.85589179992676,1772156110.491643
16,30,50.92975616455078,1772156110.625687
16,40,49.495504760742186,1772156110.758975
17,10,50.97305679321289,1772156110.949501
17,20,47.840116786956784,1772156111.0848215
17,30,49.92409610748291,1772156111.2240672
17,40,49.259996509552,1772156111.3580642
18,10,48.59444389343262,1772156111.5520923
18,20,46.90451631546021,1772156111.7128148
18,30,46.67045052846273,1772156111.8519285
18,40,49.022310209274295,1772156111.9853375
19,10,56.62458381652832,1772156112.1767833
19,20,52.702711296081546,1772156112.31115
19,30,49.68391863505045,1772156112.4473488
19,40,48.78549680709839,1772156112.5836635
20,10,47.617478370666504,1772156112.7740512
20,20,47.038671779632566,1772156112.9082353
20,30,47.968650881449385,1772156113.0425675
20,40,48.540768671035764,1772156113.1767817
21,10,52.347860717773436,1772156113.3659637
21,20,49.64911289215088,1772156113.499387
21,30,47.866753069559735,1772156113.6323957
21,40,48.295812940597536,1772156113.7657804
22,10,50.21135787963867,1772156113.9633694
22,20,48.68772220611572,1772156114.1005435
22,30,47.213274002075195,1772156114.234603
22,40,48.05076656341553,1772156114.3679912
23,10,45.1821704864502,1772156114.5574574
23,20,46.00619230270386,1772156114.6917024
23,30,46.22876536051432,1772156114.8259542
23,40,47.80348801612854,1772156114.9591494
24,10,49.73799781799316,1772156115.149624
24,20,49.269293022155765,1772156115.2849073
24,30,48.50819435119629,1772156115.418968
24,40,47.562160634994505,1772156115.5522788
25,10,52.21227264404297,1772156115.7406654
25,20,48.423125171661376,1772156115.8750331
25,30,48.71709334055583,1772156116.009296
25,40,47.32242312431335,1772156116.1433175
26,10,44.671193504333495,1772156116.3331325
26,20,46.07099313735962,1772156116.4670243
26,30,46.63062000274658,1772156116.600324
26,40,47.08488650321961,1772156116.7377727
27,10,43.970458984375,1772156116.9300928
27,20,45.13977756500244,1772156117.0653803
27,30,45.951616032918295,1772156117.19972
27,40,46.81983098983765,1772156117.3328583
28,10,44.974808883666995,1772156117.5253394
28,20,44.82222919464111,1772156117.6602385
28,30,45.599892171223956,1772156117.7941961
28,40,45.80739269256592,1772156117.928955
29,10,39.95051441192627,1772156118.1202211
29,20,42.92606782913208,1772156118.2536335
29,30,44.83483231862386,1772156118.388044
29,40,44.57226748466492,1772156118.522308
30,10,47.808352661132815,1772156118.9176788
30,20,46.59797401428223,1772156119.0581539
30,30,45.35994955698649,1772156119.1846683
30,40,43.741243267059325,1772156119.3114202
31,10,43.53201141357422,1772156119.4944844
31,20,41.90289049148559,1772156119.6203172
31,30,42.304813067118324,1772156119.7461352
31,40,43.04348769187927,1772156119.8700342
32,10,43.23843765258789,1772156120.0533922
32,20,43.85342893600464,1772156120.1783202
32,30,42.82597026824951,1772156120.3017724
32,40,42.4931387424469,1772156120.427077
33,10,39.884757614135744,1772156120.6099164
33,20,38.908131980895995,1772156120.7416348
33,30,40.540358225504555,1772156120.8667812
33,40,42.02546758651734,1772156120.99207
34,10,49.79182739257813,1772156121.1737437
34,20,45.97416753768921,1772156121.2992847
34,30,43.04273192087809,1772156121.4240465
34,40,41.65045685768128,1772156121.5497959
35,10,39.04469718933105,1772156121.731332
35,20,42.140709400177,1772156121.8567488
35,30,42.65104891459147,1772156121.981125
35,40,41.29293999671936,1772156122.1068642
36,10,40.949215698242185,1772156122.302902
36,20,42.32679395675659,1772156122.42876
36,30,40.49166088104248,1772156122.5537336
36,40,40.9288586139679,1772156122.6784449
37,10,41.97735786437988,1772156122.8577592
37,20,42.19286050796509,1772156122.9823458
37,30,41.96741797129313,1772156123.1081057
37,40,40.583065032958984,1772156123.2329776
38,10,40.3399715423584,1772156123.41804
38,20,39.117110061645505,1772156123.5430865
38,30,40.356618118286136,1772156123.6670878
38,40,40.22764720916748,1772156123.796635
39,10,38.92563667297363,1772156123.9779172
39,20,39.4770094871521,1772156124.1051004
39,30,39.49248841603597,1772156124.2286599
39,40,39.91709799766541,1772156124.3536017
40,10,38.79916496276856,1772156124.5348482
40,20,39.92968282699585,1772156124.6603162
40,30,39.023342831929526,1772156124.7843277
40,40,39.622870206832886,1772156124.9097445
41,10,36.294832420349124,1772156125.0942137
41,20,39.77590103149414,1772156125.2196815
41,30,40.10676523844401,1772156125.357049
41,40,39.25814309120178,1772156125.4818656
42,10,37.77598609924316,1772156125.6731021
42,20,38.239040279388426,1772156125.80718
42,30,39.03445256551107,1772156125.930747
