epoch,batch,loss,asymmetry,time
0,10,16.291629123687745,1.4041696728229522,1777839463.6685169
0,20,14.854520100355149,1.4281067707538604,1777839464.4572763
0,30,14.32726519505183,1.5379213445703188,1777839465.2769632
0,40,14.825358137488365,1.6510756976991892,1777839466.0768476
1,10,16.27690987586975,2.175202850961685,1777839467.1287093
1,20,15.035637122392654,2.230004436802864,1777839467.9207082
1,30,13.745454490184784,2.244258488090833,1777839468.7334986
1,40,14.432601431012154,2.2354329210937025,1777839469.528826
2,10,14.378049039840699,2.1774942721128463,1777839470.4298265
2,20,12.018085846304894,2.1645773841440676,1777839471.2267165
2,30,13.200036166111628,2.133257619182269,1777839472.022474
2,40,14.112021152675151,2.0990432016402485,1777839472.8086467
3,10,14.407172536849975,1.9077802466630935,1777839473.688132
3,20,14.093257033824921,1.829744707286358,1777839474.467215
3,30,14.079542128245036,1.7341695074478785,1777839475.2467427
3,40,13.908361521363258,1.64864051310122,1777839476.027386
4,10,15.234504675865173,1.2644274676144123,1777839476.96113
4,20,14.251796400547027,1.1892692648380996,1777839477.7351499
4,30,13.588206775983174,1.1548864522476991,1777839478.5140364
4,40,13.768638306856156,1.134688342435658,1777839479.329305
5,10,17.737103176116943,1.0000864977359771,1777839480.2527974
5,20,14.85410928428173,0.955469495293498,1777839481.0518682
5,30,13.011884822448094,0.8897203090568383,1777839481.8443224
5,40,13.68627858608961,0.8460025816872716,1777839482.640631
6,10,12.267795610427857,0.6674994444966317,1777839483.542826
6,20,13.906473886966705,0.6189087585672736,1777839484.3339558
6,30,13.693950859705607,0.5935388946950436,1777839485.1276045
6,40,13.645328223705292,0.5698626658692956,1777839485.921426
7,10,14.979031801223755,0.46465584621429445,1777839486.827851
7,20,15.247759008407593,0.4533341772735119,1777839487.629832
7,30,14.445033740997314,0.44918090314964454,1777839488.4332433
7,40,13.602686440944671,0.43260394182652234,1777839489.2337897
8,10,13.688961005210876,0.3737618860304356,1777839490.1428075
8,20,13.685045577585697,0.3651103750169277,1777839490.9445376
8,30,13.99524876375993,0.36198887434105076,1777839491.7385027
8,40,13.55532656982541,0.36052333889491855,1777839492.5343657
9,10,14.859850215911866,0.34057876695096495,1777839493.4197955
9,20,13.762071657180787,0.3363432992555201,1777839494.2183468
9,30,13.855532476305962,0.33240506377518175,1777839495.0145159
9,40,13.521657279878855,0.32842030047364534,1777839495.8079243
10,10,13.492719411849976,0.3152978930220008,1777839496.700281
10,20,15.389594435691833,0.3141537711597979,1777839497.4933167
10,30,14.046260698636372,0.31279505987018347,1777839498.2857857
10,40,13.50213893428445,0.31088541913181544,1777839499.0810344
11,10,16.005453252792357,0.3159183976739645,1777839499.9812732
11,20,13.976918971538543,0.3200031420238316,1777839500.776598
11,30,13.924537460009256,0.31927901052435237,1777839501.5742307
11,40,13.474705219268799,0.3224842931032181,1777839502.3650424
12,10,12.186167430877685,0.32735997632443903,1777839503.2623005
12,20,12.48543860912323,0.32719594445750116,1777839504.0538604
12,30,14.227853059768677,0.3309724302709103,1777839504.8493676
12,40,13.443108246475457,0.33734022885374726,1777839505.6435506
13,10,12.428175526857377,0.37219004652947185,1777839506.5466764
13,20,14.64415582716465,0.37477530811280013,1777839507.3411806
13,30,13.713146076599758,0.38054817571441335,1777839508.1345782
13,40,13.403931321948766,0.3841555191148073,1777839508.9292219
14,10,14.577158641815185,0.38851995000839235,1777839509.8120112
14,20,11.818848073482513,0.3910469322413206,1777839510.601166
14,30,12.728383040428161,0.3926889397641023,1777839511.378673
14,40,13.363204002380371,0.3997952558528632,1777839512.1570084
15,10,12.604828310012817,0.4260252471596003,1777839513.0439906
15,20,12.985008215904235,0.42256723873242735,1777839513.8233898
15,30,13.307748333613079,0.42432395346164703,1777839514.5998836
15,40,13.300924956798553,0.4225604116111994,1777839515.3782766
